MAC;IMU;TIME;INDEX;QUATERNION_0;QUATERNION_1;QUATERNION_2;QUATERNION_3;ACCEL_ADXL355_0;ACCEL_ADXL355_1;ACCEL_ADXL355_2;ACCEL_BMI160_0;ACCEL_BMI160_1;ACCEL_BMI160_2;GYRO_0;GYRO_1;GYRO_2;GYRO_ECC_0;GYRO_ECC_1;GYRO_ECC_2
18:04:ED:C4:75:1A;imu9;1655928839214090;110;0.000000;0.000000;0.000000;0.000000;-0.068125;10.160000;0.265000;-0.232500;10.265000;0.178750;0.000000;0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839221651;111;0.000000;0.000000;0.000000;0.000000;-0.066875;10.150000;0.246875;-0.261250;10.261875;0.216875;0.000000;0.000000;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839229142;112;0.000000;0.000000;0.000000;0.000000;-0.029375;10.157500;0.248750;-0.261875;10.255000;0.199375;0.001065;0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839243976;113;0.000000;0.000000;0.000000;0.000000;-0.039375;10.164375;0.264375;-0.258125;10.272500;0.213750;0.002131;0.000000;-0.002131;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839251612;114;0.000000;0.000000;0.000000;0.000000;-0.060625;10.168750;0.274375;-0.240000;10.256250;0.228750;0.000000;0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839259122;115;0.000000;0.000000;0.000000;0.000000;-0.061250;10.174375;0.258750;-0.259375;10.253125;0.175625;-0.001065;0.000000;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839274127;116;0.000000;0.000000;0.000000;0.000000;-0.039375;10.166250;0.252500;-0.275000;10.245000;0.206875;0.000000;0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839281563;117;0.000000;0.000000;0.000000;0.000000;-0.035000;10.156250;0.249375;-0.252500;10.275625;0.207500;0.000000;0.002131;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839289282;118;0.000000;0.000000;0.000000;0.000000;-0.044375;10.158125;0.279375;-0.248750;10.263125;0.184375;0.001065;0.000000;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839304318;119;0.000000;0.000000;0.000000;0.000000;-0.066250;10.169375;0.270000;-0.235625;10.268750;0.185625;0.000000;0.000000;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839311847;120;0.000000;0.000000;0.000000;0.000000;-0.049375;10.164375;0.250625;-0.261250;10.281875;0.214375;0.000000;0.000000;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839319346;121;0.000000;0.000000;0.000000;0.000000;-0.023125;10.155000;0.248125;-0.248125;10.270625;0.190000;0.000000;0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839334309;122;0.000000;0.000000;0.000000;0.000000;-0.042500;10.167500;0.270625;-0.240000;10.278125;0.193750;0.000000;0.001065;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839341820;123;0.000000;0.000000;0.000000;0.000000;-0.055000;10.155000;0.268750;-0.235000;10.281875;0.214375;0.000000;0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839349338;124;0.000000;0.000000;0.000000;0.000000;-0.056250;10.148125;0.266250;-0.266250;10.289375;0.203125;0.001065;0.000000;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839364279;125;0.000000;0.000000;0.000000;0.000000;-0.033750;10.152500;0.253125;-0.233750;10.274375;0.210625;-0.001065;0.001065;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839371864;126;0.000000;0.000000;0.000000;0.000000;-0.035000;10.159375;0.265000;-0.224375;10.266875;0.211875;0.000000;0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839379324;127;0.000000;0.000000;0.000000;0.000000;-0.052500;10.168125;0.276250;-0.236250;10.276875;0.218750;0.000000;0.000000;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839394342;128;0.000000;0.000000;0.000000;0.000000;-0.064375;10.165625;0.258750;-0.254375;10.287500;0.230625;0.000000;0.000000;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839402000;129;0.000000;0.000000;0.000000;0.000000;-0.030625;10.165000;0.258750;-0.236250;10.265625;0.221875;-0.001065;-0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839409361;130;0.000000;0.000000;0.000000;0.000000;-0.024375;10.165625;0.247500;-0.237500;10.261250;0.186875;0.000000;-0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839424307;131;0.000000;0.000000;0.000000;0.000000;-0.048750;10.148125;0.266250;-0.253750;10.265625;0.191250;0.000000;0.000000;0.000000;0;0;0
